Jockey,J_Win,J_2nd,J_3rd,J_4th,J_5th,Total Rides,J_Stakes Won
Z Purton,21,17,10,9,7,635,181824240
J Moreira,20,15,12,11,8,660,162786520
K Teetan,9,9,12,10,10,588,70099585
N Rawiller,12,13,12,9,8,324,58466750
C Schofield,9,7,8,11,8,410,55103300
K C Leung,7,7,8,7,9,553,60011150
M F Poon,8,8,11,9,10,454,43238600
U Rispoli,7,7,7,9,8,465,39452275
D Whyte,7,9,9,9,10,400,38252500
N Callan,6,8,9,8,11,423,36670300
H T Mo,8,11,5,8,6,302,27939150
C Y Ho,5,5,7,7,7,458,27797650
H N Wong,7,6,5,6,7,367,26146425
M L Yeung,5,4,5,7,8,461,25206850
T Berry,5,6,9,8,9,418,45697300
B Prebble,6,7,9,7,8,347,37135000
M Chadwick,5,8,5,9,9,386,28801650
S Clipperton,5,8,8,6,6,341,35485300
A Sanna,5,5,7,10,7,344,26315150
O Doleuze,6,9,4,7,11,269,29963700
A Badel,7,8,9,8,11,205,19088700
C Wong,9,8,9,9,6,145,14269950
W M Lai,2,3,6,5,7,309,9378525
P-C Boudot,10,2,16,8,8,51,4349890
K C Ng,1,2,3,4,4,275,4990400
R Moore,17,0,8,17,25,12,21697820
T H So,2,6,10,6,10,52,2163650
W L Ho,14,14,0,14,0,7,1087700
S de Sousa,17,17,0,0,0,6,834240
O Murphy,10,0,10,10,10,10,2253350
D Oliver,25,0,0,25,0,4,1772700
W Buick,50,0,0,0,0,2,13680000
H Bowman,0,19,19,13,0,16,6445440
R Maia,0,14,14,14,0,7,442200
M Guyon,0,50,50,0,0,2,4173900
F Prat,0,25,0,0,0,4,345840
G Mosse,0,0,14,3,3,29,2472950
K Tosaki,0,0,25,0,0,4,180780
L Henrique,0,0,14,0,0,7,121440
C Soumillon,0,0,0,33,67,3,945850
C Demuro,0,0,0,20,40,5,910380
H W Lai,0,0,0,0,14,14,95900
Y Take,0,0,0,0,100,1,825000
A Atzeni,0,0,0,0,0,1,500000
F-X Bertras,0,0,0,0,0,1,0
J Crowley,0,0,0,0,0,1,0
M Demuro,0,0,0,0,0,1,0
O Peslier,0,0,0,0,0,1,0
S Levey,0,0,0,0,0,1,0
W Smith,0,0,0,0,0,1,0
Y Iwata,0,0,0,0,0,1,370000
G Schofield,0,0,0,0,0,2,360000
J Heffernan,0,0,0,0,0,2,0
L Corrales,0,0,0,0,0,2,0
S Pasquier,0,0,0,0,0,2,0
C Williams,0,0,0,0,0,3,0
